rank,ranking_type,like_user_id,creator_name,creator_urlname,creator_url,has_profile_url,likes_count,first_like_at,last_like_at,follower_count,generated_at,period_start,period_end
78,monthly,5135405,てくてく文庫,tenten2021,https://note.com/tenten2021,True,8,2026-03-01T13:01:24+09:00,2026-03-22T10:03:57+09:00,1281,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
79,monthly,13029728,いのちゃん＠60代、AI初心者脱出への格闘記。独学で見えた「技術は年齢を裏切らない」,krnm_0714,https://note.com/krnm_0714,True,8,2026-03-03T06:49:34+09:00,2026-03-14T20:33:20+09:00,710,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
80,monthly,11281858,studio_maki🍀note.2025.4.17_φ(･_･☘,studio_aya2025,https://note.com/studio_aya2025,True,8,2026-03-02T10:33:35+09:00,2026-03-14T10:01:46+09:00,2297,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
81,monthly,11968206,もり｜40代から“仕事を軽くする”リスキリング　,mori_reskilling,https://note.com/mori_reskilling,True,8,2026-03-03T07:34:03+09:00,2026-03-08T19:05:40+09:00,500,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
82,monthly,11389194,むみま｜道具道,mumima,https://note.com/mumima,True,7,2026-03-06T13:22:16+09:00,2026-03-30T07:11:00+09:00,1383,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
83,monthly,8960994,ようちゃん,you_ter,https://note.com/you_ter,True,7,2026-03-09T22:01:27+09:00,2026-03-29T15:37:26+09:00,121,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
84,monthly,11279952,マイユー×生成AI×好きなことする,maiyu_x_ai,https://note.com/maiyu_x_ai,True,7,2026-03-02T12:41:06+09:00,2026-03-27T23:12:51+09:00,1451,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
85,monthly,6843325,ゆを｜中学の課題に奮闘中🪽,tibi_kuri,https://note.com/tibi_kuri,True,7,2026-03-24T18:11:54+09:00,2026-03-27T08:46:22+09:00,539,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
86,monthly,11775030,りっちゃん👑ミニ株の女王,ricchan_dayo,https://note.com/ricchan_dayo,True,7,2026-03-01T10:23:23+09:00,2026-03-27T08:02:19+09:00,958,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
87,monthly,13065530,ノックスリョウ,ryo_hsl,https://note.com/ryo_hsl,True,7,2026-03-11T13:12:57+09:00,2026-03-27T07:21:06+09:00,55,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
88,monthly,11910247,ITジグソーパズル,itjigsaw_puzzle,https://note.com/itjigsaw_puzzle,True,7,2026-03-06T10:57:22+09:00,2026-03-20T12:54:16+09:00,198,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
89,monthly,11870206,みきこ🌿季節の花ごよみ,hirata_mikiko60,https://note.com/hirata_mikiko60,True,7,2026-03-02T22:08:52+09:00,2026-03-07T14:01:58+09:00,532,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
90,monthly,12238138,匿名,royal_gibbon1875,https://note.com/royal_gibbon1875,True,7,2026-03-04T15:20:26+09:00,2026-03-04T15:20:48+09:00,0,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
91,monthly,10069756,うどあり│キャリア逆転の美学,udoari_imagine,https://note.com/udoari_imagine,True,6,2026-03-14T11:17:35+09:00,2026-03-30T15:21:57+09:00,339,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
92,monthly,11325974,HAS｜40代後半エンジニアPM,nice_prawn3453,https://note.com/nice_prawn3453,True,6,2026-03-07T20:54:13+09:00,2026-03-30T05:15:43+09:00,1891,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
93,monthly,2021644,YUNA｜AIに人格を灯す人,senamana,https://note.com/senamana,True,6,2026-03-06T10:54:40+09:00,2026-03-29T15:52:41+09:00,117,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
94,monthly,2475593,小暮裕之 医師 / 医療経営者 フィジカルAI × 医療・介護 在宅・ホスピスの社会実装,ariakekids,https://note.com/ariakekids,True,6,2026-03-06T11:43:43+09:00,2026-03-29T10:09:48+09:00,2101,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
95,monthly,9282525,建从,fresh_racoon3036,https://note.com/fresh_racoon3036,True,6,2026-03-01T18:18:22+09:00,2026-03-28T12:09:42+09:00,540,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
96,monthly,11618650,京,humble_gibbon560,https://note.com/humble_gibbon560,True,6,2026-03-02T08:05:07+09:00,2026-03-26T06:49:52+09:00,1074,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
